sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AT-9283 300nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-10.491804788028666,-6.7808816948625505
_dyn_#AT-9283 30nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-23.42737855961237,1.9515271163331034
_dyn_#AT-9283 3nM.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,3.6954492941167687,-13.683988445223946
_dyn_#AT-9283 DMSO.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,11.38612547208924,-20.282056346390846
_dyn_#AT-9283 PDPD.Tech replicate 1 of 1,dyn,AT-9283,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,13.80764420328635,-19.99878979626069
_dyn_#AV-412 1000nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-20.600832894079577,-3.244998942178139
_dyn_#AV-412 100nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-18.89476211604289,-5.986625774755076
_dyn_#AV-412 10nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-30.613888964681273,-0.31215385066388035
_dyn_#AV-412 30000nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-34.586219887127186,1.6210746574445183
_dyn_#AV-412 3000nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-33.16069748725556,2.678567902947227
_dyn_#AV-412 300nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-24.080761152391112,-5.3890866765018925
_dyn_#AV-412 30nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-20.752597963261024,-6.9893525232408615
_dyn_#AV-412 3nM.Tech replicate 1 of 1,dyn,AV-412,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-17.620933610435987,-4.406475315666091
_dyn_#AV-412 DMSO.Tech replicate 1 of 1,dyn,AV-412,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-25.747188846031044,-0.8019684389194446
_dyn_#AV-412 PDPD.Tech replicate 1 of 1,dyn,AV-412,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-31.45589246149099,3.3771420714247022
_dyn_#AV-412_inBT474 1000nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,1000.0,Tech replicate 1 of 1,True,111.62067878684562,58.280217730705616
_dyn_#AV-412_inBT474 100nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,100.0,Tech replicate 1 of 1,True,103.08711025308106,53.430119961466005
_dyn_#AV-412_inBT474 10nM.Tech replicate 1 of 1,dyn,AV-412,BT474,treatment,10.0,Tech replicate 1 of 1,True,104.16442359573533,55.25870992648313
